"Id";"Id_estación";"Nombre"
1;23;BATALLON ROOKE 
10;83;IDEAM BOGOTA 
100;13;ARAGON 
101;16;ARRAYANALES 
102;41;LAS CAMELIAS 
103;46;CHIGORODO 
104;58;HDA. COTOVE 
8;70;FLORENCIA DESLIZAMIENTOS 
105;61;JUANCHACO 
106;94;LA SELVA 
108;118;NEV SANTA ISABEL 
109;124;PAJARITO 
11;87;INZA 
110;141;PISTA INDIRA 
111;148;PNN PURACE 
113;206;STA ISABEL VALDIVIA 
114;210;EL TABLAZO 
115;458;QUITASUENO 
19;125;HDA PAJONALES 
116;35;CANASGORDAS 
117;51;COL AGRO PAILITAS 
118;121;NORMAL MANATI 
119;143;PLANETA RICA 
12;101;MACAGUAL 
120;191;SANTUARIO 
121;219;TULENAPA 
27;151;LA PRIMAVERA 
122;221;TURBO 
124;258;ABRIAQUI 
125;262;HDA. PALMIRA 
126;265;HOBO 
32;160;PTE. GATO NEGRO 
127;269;CRISTO REY 
34;163;PTO. ANGOSTURAS 
35;164;PTO. LLERAS 
128;274;GALERAZAMBA 
129;276;SAHAGUN 
13;106;MARENGO 
130;296;CURUMANI 
132;299;SAN ISIDRO BONDA 
133;301;MINCA  
134;307;ARIGUANI 
137;314;PUENTE SALGUERO 
138;315;CARACOLI  
139;317;PUERTO RICO HACIENDA 
46;207;STA. CRUZ SIECHA 
14;114;LA MORA 
140;389;ANGOSTURA 
141;14;ARGELIA SAMANA 
142;22;BATALLON NO.6 AUTOMµTICA 
143;43;CARMEN DE BOLIVAR 
144;69;FEDEARROZ AUTOMµTICA 
53;15;ARMENIA 
145;75;LA GRAN VIA 
147;90;JERICO AUTOMµTICA 
148;93;LA LOMA CAR CES AUTOMATICA 
149;102;MACEO AUTOMµTICA 
15;115;MURILLO 
150;112;MONTELIBANO AUTOMµTICA 
151;123;PAICI AUTOMµTICA 
152;133;PAR. BELMIRA AUTOMµTICA 
153;167;PUERTA ROJA 
63;63;EL DIVISO 
64;65;EMAS 
65;67;ESTRECHO PATIA 
154;184;SAN MARCOS AUTOMµTICA 
155;187;SAN PEDRO CORDOBA
156;194;SERR. PERIJA 
157;215;EL TESORO AUTOMµTICA 
158;218;TOROMANA AUTOMµTICA 
159;222;UNI. TECNOLOGICA MAGDALENA 
16;116;NATAIMA 
73;107;MARSELLA 
161;105;MANZANARES 
75;135;PASCA 
163;202;SONSON 
164;214;TESORITO FCA. 
165;252;RETIRO 
166;253;BARRANQUILLITA 
167;260;PUEBLO BELLO 
168;264;EL RETIRO 
169;270;JUAN JOSE 
17;120;NEVADO DEL TOLIMA 
170;272;LOMA VERDE 
171;275;PICA PICA 
86;179;SAN ANTONIO CALDAS 
172;297;TERMOGUAJIRA 
173;300;SAN LORENZO 
174;306;PALMARITO 
175;308;CHEMESQUEMENA 
